word,phonetic,translation,frq
incriminate,in'krimineit,"vt. 连累, 暗示...有罪, 控告\n[法] 控告, 使入罪, 连累",25401
incubate,'inkjubeit,"vt. 孵, 培养, 使发展\nvi. 孵蛋, 潜伏, 筑巢, 孵化, 酝酿\nn. 孵育物",18723
inculcate,'inkʌlkeit,"vt. 反复灌输, 谆谆教诲",18562
incur,in'kә:,"vt. 招致, 蒙受, 遭遇\n[经] 招致, 蒙受, 担负",8042
indecent,in'di:sәnt,"a. 下流的, 不礼貌的\n[医] 猥亵的",16264
indefatigable,.indi'fætigәbl,"a. 不知疲倦的, 有耐性的, 不屈不挠的",23369
indefinite,in'definit,"a. 模糊的, 不确定的, 无限的\n[法] 不确定的, 无限制的",13974
indefinitely,,adv. 无期限地,8418
indemnify,in'demnifai,"vt. 赔偿, 补偿, 保护, 保障\n[经] 赔偿",34150
indemnity,in'demniti,"n. 赔偿, 保障, 补偿, 赦免, 保护\n[经] 赔偿, 补偿, 赔偿金",24857
indent,in'dent,"n. 契约, 订货单, 凹痕\nvi. 切割成锯齿状\nvt. 缩排, 定货, 印凹痕\n[计] 缩进",30607
indented,in'dentid,a. 犬牙交错的；受契约约束的；[印刷]缩进排印的,36710
indenture,in'dentʃә,"n. 契约, 契据, 凹痕\nvt. 以契约束缚",32727
independent,.indi'pendәnt,"n. 独立自主者, 无党派者\na. 独立的, 有主见的, 不须依赖的, 不受约束的",1265
indicate,'indikeit,"vt. 显示, 象征, 指示, 指出\n[医] 指示",785
indicative,in'dikәtiv,"a. 指示的, 象征的, 表示...的\n[经] 指标的",9866
indictment,in'daitmәnt,"n. 起诉, 控告, 起诉状\n[经] 起诉书",5627
indifference,in'difәrәns,"n. 不重视, 无兴趣, 漠不关心\n[法] 中立, 不偏袒, 不重视",8021
indifferent,in'difәrәnt,"a. 漠不关心的, 无重要性的, 中立的\n[医] 中性的, 无作用的, 无亲和力的, 淡漠的",8368
indigenous,in'didʒinәs,"a. 本土的, 国产的, 固有的\n[医] 原产的, 本土的",3679
indigent,'indidʒәnt,"a. 贫乏的, 穷困的",15961
indigestion,.indi'dʒestʃәn,"n. 消化不良\n[医] 消化不良, 不消化",20451
indignant,in'dignәnt,"a. 愤怒的, 愤慨的",14792
indignity,in'digniti,"n. 侮辱\n[法] 侮辱的言行, 无礼, 有伤尊严",16237
indiscriminately,ˌɪndɪ'skrɪmɪnətlɪ,"adv. 无差别, 任意地; 不分青红皂白地; 滥; 不分皂白",18203
indiscrimination,"'indis,krimi'neiʃәn","n. 无差别, 不加区别的事物(行为)",0
indispensable,.indis'pensәbl,"n. 不可缺少之物\na. 不可缺少的, 责无旁贷的, 绝对必要的",8952
indite,in'dait,"vt. 写成文章, 创作",0
individualism,.indi'vidʒuәlizm,"n. 个人主义, 个人特征\n[经] 个人主义",10574
indolent,'indәlәnt,"a. 懒惰的, 无痛的\n[医] 无痛的",26808
indomitable,in'dɒmitәbl,"a. 不屈服的, 不屈不挠的",23022
induce,in'dju:s,"vt. 引诱, 招致, 归纳出, 感应\n[医] 诱导, 感应",5257
inducible,in'dju:sәbl,a. 可导致的；可诱导的,0
industrial,in'dʌstriәl,"a. 工业的, 供工业用的, 工业高度发展的, 产业的\nn. 工业工人, 工业股票",1913
industrialization,"in,dʌstriәlai'zeiʃn","n. 工业化, 产业化\n[经] 工业化",12437
industrialized,in'dʌstriәlaizd,a. 工业化的,7950
industrious,in'dʌstriәs,"a. 勤勉的, 刻苦的",18792
inelastic,.ini'læstik,"a. 无弹性的, 无弹力的, 无适应性的\n[医] 无弹性的",29872
ineligible,in'elidʒәbl,"a. 无被选任资格的, 不适任的, 无益的\nn. 无被选任资格的人, 不合录用资格的人",15452
inept,in'ept,"a. 不适当的, 不理智的, 笨拙的\n[法] 不称职者, 无能的, 不符要求的",13957
inert,i'nә:t,"a. 惰性的, 迟钝的, 无活力的, 呆滞的\n[医] 惰性的, 无作用的, 无效的",13911
inevitable,in'evitәbl,"a. 不可避免的, 必然的\n[法] 不可避免的, 无法规避的, 必然的",3561
inevitably,in'evitәbli,adv. 不可避免地,4649
inextricably,,"adv. 无法摆脱地, 解不开地, 不能解决地",14581
infallible,in'fælәbl,"a. 绝无错误的, 绝对可靠的\nn. 一贯正确的人",19542
infamous,'infәmәs,"a. 无耻的, 不名誉的, 声名狼藉的",7661
infancy,'infәnsi,"n. 幼年, 初期, 幼儿期\n[医] 婴儿期(一足岁以内)",10935
infant,'infәnt,"n. 婴儿, 儿童, 初学者\na. 婴儿的, 幼稚的",3037
infect,in'fekt,"vt. 传染, 感染\n[医] 传染, 感染",5200
infection,in'fekʃәn,"n. 传染, 影响, 传染病\n[医] 传染, 感染",2692
infectious,in'fekʃәs,"a. 有传染性的, 易传染的\n[医] 传染性的",7091
infer,in'fә:,"vt. 推论出, 推断\nvi. 作推论",9219
inferior,in'fiәriә,"a. 次等的, 较差的, 下方的, 下级的\nn. 部下, 次品, 下标(符号)",7505
inferiority,in.fiәri'ɒriti,"n. 自卑, 次等\n[医] 下位, 下级, 次级, 劣等",15138
infertile,in'fә:tail,"a. 不肥沃的, 不毛的, 不结果实的",17816
infest,in'fest,"vt. 骚扰, 寄生于, 大批出没\n[医] 传染, 感染",17621
infiltrate,in'filtreit,"vt. 使浸润, 使潜入, 使渗入\nvi. 渗入\nn. 渗透物",10390
infirmary,in'fә:mәri,"n. 医院, 养老院\n[医] 医务所, 医务室, 小医院",21949
infirmity,in'fә:miti,"n. 虚弱, 病身, 疾病\n[医] 衰弱",22525
inflate,in'fleit,"vt. 使膨胀, 使得意, 使通货膨胀, 使充气\nvi. 充气, 膨胀",8865
inflation,in'fleiʃәn,"n. 胀大, 夸张, 通货膨胀\n[化] 充气吹胀; 膨胀",3197
inflexible,in'fleksәbl,"a. 不屈曲的, 不屈挠的, 顽固的",17102
inflict,in'flikt,"vt. 施以, 加害, 使承受\n[法] 处, 加, 予以",6479
influential,.infu'enʃәl,"a. 有影响的, 有势力的",4289
influenza,.influ'enzә,"n. 流行性感冒\n[医] 流行性感冒, 流感",12570
influx,'inflʌks,"n. 流入, 河口, 汇集\n[医] 注入, 流入",8583
informal,in'fɒ:mәl,"a. 非正式的, 不拘礼的, 通俗的\n[经] 非正式的, 日常使用的",4529
informative,in'fɒ:mәtiv,"a. 提供消息的, 见闻广博的",10780
informed,in'fɒ:md,a. 见多识广的,7733
infringe,in'frindʒ,"v. 破坏, 侵犯, 违反",14867
infuse,in'fju:z,"vt. 注入, 使充满, 泡制, 鼓舞\nvi. 泡",8860
infusion,in'fju:ʒәn,"n. 注入, 泡制, 注入物\n[化] 浸渍; 浸泡",10082
ingenious,in'dʒi:njәs,"a. 灵敏的, 精巧的, 聪明的",11520
ingeniously,ɪn'dʒi:nɪəslɪ,"adv. 有才能地, 贤明地",24497
ingredient,in'gri:diәnt,"n. 成分, 因素\n[化] 配合剂; 拼料; 成分; 组分",2590
inhabit,in'hæbit,"vt. 居住于, 占据, 栖息",6052
inhabitant,in'hæbitәnt,"n. 居民, 居住者\n[医] 居民",5914
inherent,in'hiәrәnt,"a. 固有的, 与生俱来的\n[医] 固有的, 生来的",4924
inherit,in'herit,"vt. 继承, 遗传\nvi. 接受遗产",4471
inheritance,in'heritәns,"n. 遗传, 遗产\n[医] 遗传",7658
inhibit,in'hibit,"vt. 禁止, 抑制\nvi. 起抑制作用",7404
initial,i'niʃәl,"n. 字首, 首字母\na. 开始的, 最初的, 字首的\nvt. 用姓名的首字母签名",1943
initially,i'niʃәli,"adv. 最初, 开头",2715
initiate,i'niʃieit,"n. 入会, 开始\na. 新加入的\nvt. 开始, 传授基本知识给",3524
inject,in'dʒekt,"vt. 注射, 注入, 使入轨\n[医] 注射",5597
injure,'indʒә,"vt. 伤害, 损害, 使受冤屈\n[医] 损伤",3721
injurious,in'dʒuәriәs,"a. 有害的, 不公正的\n[法] 伤害的, 有害的, 不公平的",24105
injury,'indʒәri,"n. 伤害, 侮辱\n[医] 伤, 损伤",1553
injustice,in'dʒʌstis,"n. 不公平, 非正义的行为\n[法] 不公正, 不公平, 权利侵害",6053
inkling,'iŋkliŋ,"n. 暗示, 微微觉得",15544
inland,'inlәnd,"a. 内陆的, 国内的\nn. 内地",11233
innate,i'neit,"a. 先天的, 天生的\n[医] 先天的, 生来的",10178
inner,'inә,"a. 内部的, 内心的\nn. 内部",2449
innermost,'inәmәust,"a. 内心的, 秘密的, 最深处的",17271
innocent,'inәsәnt,"a. 无罪的, 不懂事的, 无知的\nn. 天真的人, 笨蛋",2775
innovation,.inәu'veiʃәn,"n. 改革, 创新\n[法] 创新, 改革, 刷新",3657
innovative,'inәjveitiv,"a. 革新的, 创新的, 富有革新精神的",4435
innuendo,.inju:'endәu,"n. 讽刺, 暗讽\nvi. 说讽刺话\nvt. 暗示",14703
innumerable,i'nju:mәrәbl,"a. 无数的, 数不清的",12952
inoffensive,.inә'fensiv,"a. 无害的, 不触犯人的, 不讨厌的",28791
inordinate,i'nɒ:dinәt,"a. 过度的, 紊乱的, 过分的",17393
inquiry,in'kwaiәri,"n. 质询, 探索, 调查, 询盘\n[计] 询问; 查询",3367
inquisitive,in'kwizәtiv,"a. 好问的, 想知道的, 好追根究底的",17122
insane,in'sein,"a. 患精神病的, 极愚蠢的\n[医] 神经错乱的",6471
insanity,in'sæniti,"n. 疯狂, 愚顽, 精神错乱\n[医] 精神病",9821
insert,in'sә:t,"n. 插入物\nvt. 插入, 把(人造卫星)射入(轨道), 添写\nvi. 附着\n[计] 插入",4301
insidious,in'sidiәs,"a. 隐伏的, 阴险的, 狡猾的\n[医] 隐袭的",12333
insight,'insait,"n. 察看, 洞察力, 见识\n[医] 自知力, 洞察, 顿悟",2840
insignificant,.insig'nifikәnt,"a. 无关紧要的, 无意义的, 琐碎的",8884
insinuate,in'sinjueit,"vt. 巴结, 暗示, 使滋长\nvi. 旁敲侧击",15647
insist,in'sist,"v. 坚持, 坚决主张, 强调",1359
insistence,in'sistәns,"n. 坚持, 坚决主张",7306
insolent,'insәlәnt,"n. 侮慢无礼的人\na. 粗野的, 无礼的, 侮慢的",24483
insomnia,in'sɒmniә,n. 失眠症\n[医] 失眠[症],12706
inspect,in'spekt,"vt. 检查, 检阅, 检验\nvi. 检查",5031
inspection,in'spekʃәn,"n. 检验, 检查, 视察\n[医] 检查, 视察, 监督, 望诊",3588
inspector,in'spektә,"n. 检查员, 巡视员\n[化] 检查员",3550
inspiration,.inspә'reiʃәn,"n. 灵感, 鼓舞人心的人或物, 妙计, 吸气\n[医] 吸[气]",4058
inspire,in'spaiә,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感\nvi. 吸入, 赋予灵感",2299
inspiring,in'spaiәriŋ,a. 鼓舞人心的,10256
install,in'stɒ:l,"vt. 安装, 安置, 使就职\n[计] 安装, 安装程序; DOS内部命令:安装常驻程序",2505
installment,in'stɒ:lmәnt,"n. 就职, 装设, 分期付款\n[经] 分期付款",10234
instant,'instәnt,"n. 立即, 瞬间\na. 紧急的, 立即的, 即时的",4453
instantaneous,.instәn'teinjәs,"a. 即时的, 瞬间的, 猝发的\n[机] 瞬时的",14192
instigate,'instigeit,"vt. 教唆, 怂恿, 煽动\n[法] 教唆, 煽动, 怂恿",15639
instill,in'stil,"vt. 滴注, 慢慢地灌输",12013
instinct,'instiŋkt,"n. 本能, 直觉\na. 充满着的",4239
instinctive,in'stiŋktiv,"a. 本能的, 天生的, 直觉的\n[医] 本能的",14454
instinctively,,"adv. 本能地, 直觉地",9224
institute,'institju:t,"n. 学会, 学院, 协会\nvt. 创立, 开始, 制定, 任命",7980
institution,.insti'tju:ʃәn,"n. 机构, 惯例, 制度\n[医] 机关, 机构, 设施",987
institutionalize,",insti'tju:ʃәnәlaiz","vt. 使制度化, 使成为惯常的行为, 使一成不变, 把...送进疯人院",11149
instruct,in'strʌkt,"vt. 教, 教育, 命令, 通知\n[法] 托办, 指导, 指示",4243
instruction,in'strʌkʃәn,"n. 指令, 教导, 命令\n[计] 指令",1563
instructive,in'strʌktiv,"a. 有益的, 增进知识的",11647
instrument,'instrumәnt,"n. 工具, 手段, 仪器\n[化] 仪器",1611
instrumental,.instru'mentәl,"a. 仪器的, 器具的, 可作为手段的\n[医] 器械的",5653
instrumentalist,.instru'mentәlist. instrә-,n. 工具主义者；乐器演奏家,21815
insubordinate,.insә'bɒ:dinәt,"a. 不顺从的, 地位不低的",36912
insufferable,in'sʌfәrәbl,"a. 不可忍受的, 忍耐不住的",24043
insufficient,.insә'fiʃәnt,"a. 不够的, 不能胜任的, 不充足的\n[法] 不足的, 不充分的, 不能胜任的",7113
insular,'insjulә,"a. 岛的, 岛民的, 与世隔绝的, 孤立的, 保守的\n[医] 岛的, 胰岛的, 脑岛的",17801
insulate,'insjuleit,"vt. 使绝缘, 隔离\n[医] 绝缘",10264
insulation,.insju'leiʃәn. 'insә-,"n. 绝缘；隔离, 孤立",8462
insulin,'insjulin,n. 胰岛素\n[化] 胰岛素,9128
insult,'insʌlt,"n. 侮辱, 无礼, 损害\nvt. 损害, 侮辱, 攻击",6568
insulting,in'sʌltiŋ,"a. 侮辱的, 损害人体的",12529
insurmountable,.insә'mauntәbl,"a. 难以克服的, 不能超越的",15862
intact,in'tækt,"a. 尚未被人碰过的, 原封不动的, 完整的\n[医] 完整的, 无伤的",4626
integral,'intigrәl,"n. 整体, 积分, 整数\na. 固有的, 整体的, 整数的, 积分的\n[计] 积分",5882
integrate,'intigreit,"vt. 综合, 使完整, 使成整体\nvi. 成一体\na. 完整的, 完全的",3431
integrated,'intәgreitid,"a. 综合的, 完整的, 互相协调的\n[法] 成为整体的, 综合的, 统筹的",4800
integrity,in'tegriti,"n. 正直, 廉正, 完整\n[计] 完整性",3464
intellect,'intәlekt,"n. 智力, 出众的才华, 知识分子\n[医] 智力, 才智",8849
intellectual,.intә'lektʃuәl,"n. 有知识者, 知识分子, 凭理智做事者\na. 智力的, 用脑力的, 聪明的",2857
intelligence,in'telidʒәns,"n. 智力, 情报, 信息\n[医] 智力",1417
intelligent,in'telidʒәnt,"a. 聪明的, 智能的, 了解的",3709
intelligible,in'telidʒәbl,"a. 可理解的, 易理解的, 纯概念性的",17337
intense,in'tens,"a. 非常的, 强烈的, 紧张的, 热情的\n[医] 强的",2295
intensify,in'tensifai,vt. 加强\nvi. 强化,5921
intensive,in'tensiv,"a. 加强的, 内涵的, 集中的\nn. 加强器",4973
intent,in'tent,"n. 意图, 含义, 故意\na. 专心的, 决心的, 热心的",3961
intention,in'tenʃәn,"n. 意图, 目的, 含义\n[医] 愈合, 意向",2517
intentionally,,"adv. 故意地, 有意地",7745
interact,.intәr'ækt,"vi. 互相影响, 交互作用\nn. 幕间剧, 幕间休息",4341
interaction,.intәr'ækʃәn,"n. 交互作用, 交感\n[计] 交互作用",2075
interactive,",intәr'æktiv","a. 相互作用的, 相互影响的\n[计] 交互, 人机对话的",4977
intercede,.intә'si:d,"vi. 说情, 调解\n[法] 代为求情, 从中调停",18971
intercept,.intә'sept,"n. 截取, 妨碍, 截距\nvt. 拦截, 阻止, 截取",7069
interconnected,",intəkə'nektid","v. 互相连接, 互相联系( interconnect的过去式和过去分词)",19641
interconnecting,,"[计] 转接的, 转换的",0
interdependence,.intәdi'pendәns.-dәnsi,n. 互相依赖,12165
interdependent,.intәdi'pendәnt,"a. 相互依赖的, 相互依存的",14814
interest,'intrist,"n. 兴趣, 嗜好, 利息, 利益, 爱好, 趣味, 势力\nvt. 使感兴趣, 与...有关系",416
interfere,.intә'fiә,"vi. 妨碍, 冲突, 干涉, 抵触\n[医] 干扰, 干涉, 阻碍, 碰腿(马)",4424
interference,.intә'fiәrәns,"n. 冲突, 干涉\n[计] 干扰",6409
interior,in'tiәriә,"n. 内部, 内政\na. 内部的, 心灵的, 内地的, 内政的",3476
interlocking,.intә'lɒkiŋ,a. 连锁的\n[化] 咬合; 咬合作用,17731
interlude,'intәlu:d,"n. 幕间, 幕间时间, 插曲, 穿插, 过场\n[计] 插算; 中间程序",16345
intermediary,.intә'mi:diәri,"n. 仲裁者, 调解者, 媒介物, 中间人\na. 中间的, 媒介的",11705
intermediate,.intә'mi:diәt,"n. 中间物, 调停者, 中级\na. 中间的, 中级的\nvi. 起媒介作用\n[计] 中级",6876
intermittent,.intә'mitәnt,"a. 间歇的, 断断续续的\n[化] 间歇的; 间断的",12236
internal,in'tә:nәl,"a. 内在的, 国内的\n[医] 内的, 内部的",1728
interpersonal,.intә'pә:sәnәl,"a. 人与人之间的, 人际(关系)的\n[法] 人与人之间的, 需要与他人接触的",7026
interpret,in'tә:prit,"vt. 解释, 演出, 翻译, 理解\nvi. 翻译, 解释",2755
interpretation,in.tә:pri'teiʃәn,"n. 解释, 演出, 翻译\n[计] 插值; 插值法; 解释",2380
interrogate,in'terәgeit,"vt. 质问, 讯问, 审问\nvi. 质问, 讯问",10405
interrupt,.intә'rʌpt,"vt. 中断, 妨碍, 插嘴\nvi. 打断\nn. 中断\n[计] 中断",3407
intersect,.intә'sekt,"vt. 贯穿, 横穿\nvi. 交错, 相交",10941
intersected,.intә'sektid,a. 交错的,0
intersection,.intә'sekʃәn,"n. 交集, 十字路口, 交叉点\n[计] 逻辑乘; 与",5760
interstellar,'intә'stelә,a. 星际的,11761
interval,'intәvәl,"n. 间隔, 距离, 间歇, 间隙\n[计] 时间间隔",4646
intervene,.intә'vi:n,"vi. 插入, 调停, 干涉\n[经] 进场干预",5091
intervention,.intә'venʃәn,"n. 插入, 介入, 调停\n[经] 干预",1926
intestine,in'testin,"a. 内部的, 国内的\nn. 肠",11678
intimacy,'intimәsi,"n. 亲密, 熟悉, 亲昵行为(言语)\n[法] 亲近的行为, 亲密, 隐私",5670
intimate,'intimәt,"a. 亲密的, 私人的, 秘密的\nvt. 暗示, 通知, 告诉\nn. 至交",4217
intimidate,in'timideit,"vt. 威胁, 恐吓\n[法] 恐吓, 威胁, 使恐惧",6635
intimidation,"in,timi'deiʃәn","n. 恐吓, 威胁\n[法] 恐吓, 威胁",9693
intoxicate,in'tɒksikeit,"vt. 使陶醉, 使喝醉",16545
intoxication,in.tɒksi'keiʃәn,"n. 使醉, 沉醉状态\n[医] 中毒, 醉[酒]",17843
intrepid,in'trepid,"a. 无畏的, 勇猛的",15314
intricate,'intrikit,"a. 复杂的, 错综的, 缠结的, 难懂的",7255
intricately,'ɪntrɪkətlɪ,"adv. 杂乱地, 复杂地; 难懂地",16979
intrigue,in'tri:g,"n. 阴谋, 复杂的事\nvi. 密谋, 私通\nvt. 激起...的兴趣, 用诡计取得",7897
intriguing,in'tri:giŋ,"a. 吸引人的, 有趣的",5894
intrinsic,in'trinsik,"a. 本质的, 原有的, 真正的\n[医] 内部的, 内在的",7449
introspective,.intrәu'spektiv,a. 内省的\n[医] 内省的,17592
intrude,in'tru:d,"vi. 闯入, 侵入\nvt. 强加于",10162
intruder,in'tru:dә,"n. 侵入者, 干扰者, 妨碍者\n[计] 入侵者",9021
intruding,in'tru:diŋ,"v. 侵入, 侵扰, 打扰( intrude的现在分词); 把…强加于",37794
intrusion,in'tru:ʒәn,"n. 闯入, 侵扰\n[医] [向内]突入",8731
intuition,.intju:'iʃәn,"n. 直觉, 直觉的知识",8521
inundate,'inʌndeit,"vt. 浸水, 泛滥, 淹没, 使充满",13018
inure,i'njuә,vt. 使习惯于\nvi. 生效,26829
invade,in'veid,"vt. 侵入, 拥入, 侵略, 侵袭\n[法] 强入, 侵犯, 侵略",4510
invader,in'veidә,n. 侵略者\n[化] 侵入物,9804
invalid,in'vælid,"n. 病人, 残废者\na. 有病的, 无效的",17470
invalidate,in'vælideit,"vt. 使无效\n[法] 使无效, 使无效力, 使作废",14552
invaluable,in'væljuәbl,"a. 无价的, 价值无法衡量的",10081
invariable,in'vєәriәbl,"n. 不变的东西, 常数\na. 不变的, 常数的",32543
invariably,in'vєәriәbli,"adv. 不变化地, 恒定地, 始终如一地",7099
invasion,in'veiʒәn,"n. 侵犯, 侵入, 侵害\n[医] 侵袭, 侵入, 发病",3295
inventory,'invәntәri,"n. 详细目录, 存货清单\nvt. 列入详细目录, 清点存货\n[计] 存货清单",3967
inverse,in'vә:s,"a. 倒转的, 相反的\nn. 反向, 反面\n[计] 反白, 反色",16580
invert,in'vә:t,"a. 转化的\nvt. 使反转, 使颠倒, 使转化\nn. 颠倒的事物\n[计] 倒置; 反转",15967
invertebrate,in'vә:tәbrit,"a. 无脊椎的, 无骨气的\nn. 无脊椎动物, 无骨气的人",18039
investigate,in'vestigeit,"v. 调查, 审查",1802
investigation,in.vesti'geiʃәn,"n. 调查, 审查\n[医] 调查, 调查研究",1175
inviting,in'vaitiŋ,"a. 引人动心的, 有魅力的\n[法] 诱惑人的, 动人心的",9809
invocation,.invәu'keiʃәn,"n. 祈祷, 符咒",15173
invoke,in'vәuk,"vt. 祈求, 恳求, 实行, 援引, 引起\n[计] 调用; 请求",5414
involuntary,in'vɒlәntәri,"a. 自然而然的, 无意识的, 不知不觉的, 偶然的, 不随意的\n[医] 不随意的",11042
involve,in'vɒlv,"vt. 包括, 使陷于, 潜心于, 包围\n[医] 累及, 牵涉, 包含",656
involved,in'vɔlvd,"a. 难懂的, 复杂的, 不易懂的, 卷入...之中的, 累及..., 与...有关, 被纠缠的\n[计] 包含, 涉及",1174
ion,'aiәn,n. 离子\n[化] 离子,10273
ionosphere,ai'ɒnә.sfiә,n. 电离层\n[化] 电离层,31313
ironic,aiә'rɔnik,"a. 冷嘲的, 挖苦的, 反话的, 讽刺的, 令人啼笑皆非的, 出乎意料的",5450
irony,'aiәrәni,"n. 反语, 讽刺, 具有讽刺意味的事",4338
irradiate,i'reidieit,"vt. 照耀, 启发, 使灿烂, 放射\nvi. 发光, 变灿烂",26774
irreconcilable,i'rekәnsailәbl,"a. 不能和解的, 不能协调的, 矛盾的",19521
irregular,i'regjulә,"n. 不规则物, 不合规格之物\na. 不规则的, 不整齐的, 不合法的",8410
irregularly,,"adv. 不规则, 不整齐, 不合法",21327
irrelevant,i'relәvәnt,"a. 不恰当的, 无关系的, 不相干的\n[法] 无关的, 不相干的, 离题的",5782
irreparable,i'repәrәbl,"a. 不能修补的, 不能挽回的\n[法] 不可弥补的, 不可挽回的",20436
irrepressible,.iri'presәbl,"a. 约束不住的, 抑制不住的",20380
irreproachable,.iri'prәutʃәbl,"a. 不可非难的, 无缺点的, 无过失的",39794
irresistible,.iri'zistәbl,"a. 不可抵抗的, 不能压制的\n[经] 不可抗力",9066
irresolute,i'rezәlu:t,"a. 无决断的, 优柔寡断的, 踌躇不定的",38088
irresponsible,.iri'spɔnsәbl,a. 不负责任的；不可靠的,7972
irreverence,i'revәrәns,"n. 不敬, 非礼, 不敬行为",25545
irreverent,i'revәrәnt,"a. 不敬的, 不逊的, 无礼的",16657
irreversible,",iri'vә:sәbl,-sib-","a. 不可逆的, 不可改变的, 不能倒置的, 不能翻转的, 不能倒转的, 不可撤销的\n[计] 不可逆的",12545
irrevocable,i'revәkәbl,"a. 不能挽回的, 不能取消的, 不能变更的\n[经] 不能撤销的, 不能恢复的",19624
irrigate,'irigeit,"vt. 灌溉, 冲洗伤口, 使清新\nvi. 灌溉",16313
irrigation,.iri'geiʃәn,"n. 灌溉, 冲洗\n[医] 冲洗法, 灌溉",6974
irritable,'iritәbl,"a. 易怒的, 急躁的\n[医] 应激性的, 过敏的",14272
irritate,'iriteit,"vt. 激怒, 使发怒, 使兴奋, 使发炎\nvi. 引起不快",8466
irritating,'iriteitiŋ,"a. 刺激的, 使愤怒的, 气人的",12492
isolate,'aisәleit,"vt. 使隔离, 使孤立, 使绝缘\nn. 隔离种群",3963
isolated,'aisәleitid,"a. 孤立的, 孤零零的\n[计] 隔离的, 绝缘的",4604
isolation,.aisә'leiʃәn,"n. 隔绝, 孤立, 隔离\n[化] 分离; 生物分离",4276
issue,'isju,"n. 发行, 问题, 后果, 流出, 出口, 争端\nvi. 发行, 流出, 造成...结果, 传下\nvt. 使流出, 放出, 发行, 发布, 发给",248
iterate,'itәreit,"vt. 反复说, 重复\n[计] 迭代",38640
itinerant,i'tinәrәnt,a. 巡回的\nn. 巡回者,16178
itinerary,ai'tinәrәri,"n. 旅程, 旅行指南, 游记\na. 巡回的, 旅程的",11240
jar,dʒɑ:,"n. 广口瓶, 震动, 刺耳声\nvi. 震惊, 冲突, 发刺耳声, 不一致\nvt. 震动, 刺激",4262
jaw,dʒɒ:,"n. 颚, 颌\nv. 闲谈, 教训, 唠叨",4087
jealous,'dʒelәs,"a. 嫉妒的, 羡慕的, 留心的, 戒备的",6322
jealousy,'dʒelәsi,"n. 妒忌, 猜忌, 羡慕\n[法] 妒忌, 嫉妒, 猜忌",8112
jeer,dʒiә,"n. 嘲笑, 讥讽, 戏弄\nv. 嘲弄, 揶揄, 戏弄",19977
jelly,'dʒeli,"n. 果冻, 果冻甜食, 胶状物\nv. (使)结冻, (使)成胶状",9024
jellyfish,'dʒelifiʃ,"n. 水母, 海蜇, 意志薄弱的人\n[医] 海蛰, 水母",18731
jeopardy,'dʒepәdi,"n. 危难, 危险\n[法] 危险, 危难, 危险处境",8398
jerk,dʒә:k,"n. 性情古怪的人, 急拉, 肌肉抽搐, 牛肉干\nvi. 痉挛, 急拉, 急推\nvt. 猛拉",5703
jettison,'dʒetisәn,"n. 投弃, 投弃货物\n[经] 抛弃, 船货投海",16098
jewel,'dʒu:әl,"n. 珠宝, 贵重物, 镶珠宝的饰物\nvt. 饰以珠宝, 镶以宝石",6074
jeweler,'dʒu:әlә(r),"n. 宝石商, 宝石匠, 珠宝商",13520
jewelry,'dʒu:әlri,"n. 珠宝, 珠宝类",4187
jewels,,n. 珠宝；宝石（jewel的复数形式）,0
jocose,dʒә'kәus,"a. 开玩笑的, 诙谐的, 戏谑的",0
jog,dʒɒg,"n. 轻推, 轻撞, 慢跑\nv. 轻推, (使)蹒跚行进, (使)慢跑",8335
jogging,'dʒɒgiŋ,n. 慢跑\n[电] 轻摇,14933
join,dʒɒin,"vi. 参加, 结合, 加入\nvt. 连接, 结合, 参加, 加入\nn. 连接, 结合, 接合点\n[计] 连接; 汇合指令",505
jolt,dʒәult,"n. 震摇, 摇动, 颠簸\nvi. 颠簸而行, 震摇\nvt. 使颠簸, 使慌张, 猛击",10838
jolting,'dʒәultiŋ,n. 震压造型；震动,33690
journal,'dʒә:nәl,"n. 日记, 杂志, 日报\n[化] 轴颈",2780
journalism,'dʒә:nәlizm,"n. 新闻业, 报章杂志\n[法] 报刊, 新闻业, 新闻出版",4524
journalist,'dʒә:nәlist,"n. 新闻记者, 从事新闻杂志业的人",2099
journalistic,",dʒ\\\\: nә'listik","a. 新闻业的, 新闻工作者的, 报刊特有的, 新闻工作的",9983
jovial,'dʒәuviәl,"a. 快活的, 高兴的, 愉快的\n[计] 国际算法语言的朱尔斯文本",19973
joyous,'dʒɒiәs,"a. 快乐的, 高兴的",12213
jubilant,'dʒu:bilәnt,"a. 欢呼的, 喜洋洋的",18234
judgement,'dʒʌdʒmәnt,"n. 审判, 判决, 判断\n[经] 判定, 审定, 鉴定",14669
judicious,dʒu:'diʃәs,"a. 头脑精明的, 贤明的, 判断正确的",16886
jug,dʒʌg,"n. 水壶, 监牢, 模仿夜莺的叫声\nvt. 放入壶中, 炖, 关押\nvi. 模仿夜莺叫",9618
juice,dʒu:s,"n. 汁, 活力, 体液\nvt. 挤出汁来, 加汁",2310
juicy,'dʒusi,"a. 多汁液的, 生动的, 多水分的",8742
jumble,dʒʌmbl,"vi. 搀杂, 混杂\nvt. 搞乱, 使混乱\nn. 混乱, 薄饼",13914
junction,'dʒʌŋkʃәn,"n. 连接, 会合处, 交叉点\n[医] 接[合]处, 接点.[接]界",13186
